SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,OPINION_TYPE,OSOPINION_TYPE,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_QOQ,OPERATE_INCOME,OPERATE_INCOME_QOQ,INTEREST_INCOME,INTEREST_INCOME_QOQ,EARNED_PREMIUM,EARNED_PREMIUM_QOQ,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_QOQ,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_QOQ,TOI_OTHER,TOI_OTHER_QOQ,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_QOQ,OPERATE_COST,OPERATE_COST_QOQ,INTEREST_EXPENSE,INTEREST_EXPENSE_QOQ,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_QOQ,RESEARCH_EXPENSE,RESEARCH_EXPENSE_QOQ,SURRENDER_VALUE,SURRENDER_VALUE_QOQ,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_QOQ,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_QOQ,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_QOQ,REINSURE_EXPENSE,REINSURE_EXPENSE_QOQ,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_QOQ,OPERATE_TAX_ADD,OPERATE_TAX_ADD_QOQ,SALE_EXPENSE,SALE_EXPENSE_QOQ,MANAGE_EXPENSE,MANAGE_EXPENSE_QOQ,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_QOQ,FINANCE_EXPENSE,FINANCE_EXPENSE_QOQ,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_QOQ,FE_INTEREST_INCOME,FE_INTEREST_INCOME_QOQ,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_QOQ,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_QOQ,OTHER_INCOME,OTHER_INCOME_QOQ,TOC_OTHER,TOC_OTHER_QOQ,INVEST_INCOME,INVEST_INCOME_QOQ,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_QOQ,ACF_END_INCOME,ACF_END_INCOME_QOQ,EXCHANGE_INCOME,EXCHANGE_INCOME_QOQ,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_QOQ,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_QOQ,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_QOQ,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_QOQ,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_QOQ,OPERATE_PROFIT,OPERATE_PROFIT_QOQ,NONBUSINESS_INCOME,NONBUSINESS_INCOME_QOQ,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_QOQ,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_QOQ,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_QOQ,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_QOQ,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_QOQ,TOTAL_PROFIT,TOTAL_PROFIT_QOQ,EFFECT_TP_OTHER,EFFECT_TP_OTHER_QOQ,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_QOQ,INCOME_TAX,INCOME_TAX_QOQ,NETPROFIT,NETPROFIT_QOQ,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_QOQ,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_QOQ,NETPROFIT_OTHER,NETPROFIT_OTHER_QOQ,NETPROFIT_BALANCE,NETPROFIT_BALANCE_QOQ,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_QOQ,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_QOQ,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_QOQ,MINORITY_INTEREST,MINORITY_INTEREST_QOQ,PARENT_NETPROFIT,PARENT_NETPROFIT_QOQ,BASIC_EPS,BASIC_EPS_QOQ,DILUTED_EPS,DILUTED_EPS_QOQ,UNABLE_OCI,UNABLE_OCI_QOQ,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_QOQ,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_QOQ,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_QOQ,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_QOQ,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_QOQ,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_QOQ,ABLE_OCI,ABLE_OCI_QOQ,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_QOQ,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_QOQ,HMI_AFA,HMI_AFA_QOQ,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_QOQ,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_QOQ,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_QOQ,FINANCE_OCI_AMT,FINANCE_OCI_AMT_QOQ,CONVERT_DIFF,CONVERT_DIFF_QOQ,ABLE_OCI_OTHER,ABLE_OCI_OTHER_QOQ,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_QOQ,OCI_OTHER,OCI_OTHER_QOQ,OCI_BALANCE,OCI_BALANCE_QOQ,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_QOQ,PARENT_OCI,PARENT_OCI_QOQ,MINORITY_OCI,MINORITY_OCI_QOQ,PARENT_OCI_OTHER,PARENT_OCI_OTHER_QOQ,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_QOQ,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_QOQ,PARENT_TCI,PARENT_TCI_QOQ,MINORITY_TCI,MINORITY_TCI_QOQ,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_QOQ,TCI_OTHER,TCI_OTHER_QOQ,TCI_BALANCE,TCI_BALANCE_QOQ,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_QOQ,PRECOMBINE_TCI,PRECOMBINE_TCI_QOQ,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_QOQ
603132.SH,603132,金徽股份,10641506,通用,2024-12-31 00:00:00,四季度,2024四季度,058001001,2025-03-11 00:00:00,2025-03-11 00:00:00,CNY,标准无保留意见,,436732000.0,13.170321183864,436732000.0,13.170321183864,,,,,,,,,,,256280577.27,10.0784427039,147617409.78,3.106273110891,,,,,14663283.79,60.399441749425,,,,,,,,,,,,,20771465.64,54.378113154648,228866.68,14.983270487762,48617877.67,11.163064221924,,,24381673.71,5.480691248421,27102698.14,-0.453305391994,2746712.27,-34.140160755412,,,,,4785588.41,878.131087338124,,,,,,,,,,,,,,,,,-679485.89,-109.663943529585,,,184888142.28,20.640313453538,764934.28,137.679479737373,,,23149125.3,4604.629611752792,,,,,,,162503951.26,6.152431529235,,,,,35531421.53,102.049304330082,126972529.73,-6.29330282529,126972529.73,-6.29330282529,,,,,,,,,,,,,,,126972529.73,-6.29330282529,0.13,-7.142857142857,0.13,-7.142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126972529.73,-6.29330282529,126972529.73,-6.29330282529,,,,,,,,,,,,,145960605.12,7.949480593587
603132.SH,603132,金徽股份,10641506,通用,2024-09-30 00:00:00,三季度,2024三季度,058001001,2024-10-25 00:00:00,2024-10-25 00:00:00,CNY,,,385906830.9,-7.560262760358,385906830.9,-7.560262760358,,,,,,,,,,,232816318.05,-10.520875396408,143170153.79,-11.070283003789,,,,,9141729.94,-25.456885570519,,,,,,,,,,,,,13454929.08,-32.261682292902,199043.46,-19.263848692439,43735640.08,-1.691782783061,,,23114821.7,3.48418256535,27226115.59,1.081633749618,4170542.02,-28.093579798276,,,,,489258.39,-56.260393677599,,,,,,,,,,,,,,,,,-324083.33,-213.92787737791,,,153255687.91,-3.418964143256,321834.38,131.089555587867,,,492049.9,-94.473922473035,,,,,,,153085472.39,2.114127150471,,,,,17585520.35,8.256381237048,135499952.04,1.367695702219,135499952.04,1.367695702219,,,,,,,,,,,,,,,135499952.04,1.367695702219,0.14,0.0,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135499952.04,1.367695702219,135499952.04,1.367695702219,,,,,,,,,,,,,135211956.85,-4.434092063366
603132.SH,603132,金徽股份,10641506,通用,2024-06-30 00:00:00,二季度,2024二季度,058001001,2024-08-17 00:00:00,2024-08-17 00:00:00,CNY,,,417468550.24,39.644137958709,417468550.24,39.644137958709,,,,,,,,,,,260190652.38,27.62901575096,160992476.56,30.197056756621,,,,,12263681.24,17.663489676267,,,,,,,,,,,,,19863098.96,81.915601598926,246535.73,-6.802496045823,44488285.23,19.119343769274,,,22336574.66,5.072921029084,26934779.92,9.399253749486,5799957.79,141.98162556729,,,,,1118570.63,7.733653302787,,,,,,,,,,,,,,,,,284463.59,119.569736370098,,,158680932.08,67.61198262243,139268.25,158.370381666474,,,8904143.99,182580.20996395283,,,,,,,149916056.34,58.271827148247,,,,,16244326.8,16.860992045204,133671729.54,65.394236698718,133671729.54,65.394236698718,,,,,,,,,,,,,,,133671729.54,65.394236698718,0.14,75.0,0.14,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133671729.54,65.394236698718,133671729.54,65.394236698718,,,,,,,,,,,,,141485556.69,75.944332791091
603132.SH,603132,金徽股份,10641506,通用,2024-03-31 00:00:00,一季度,2024一季度,058001001,2024-04-23 00:00:00,2024-04-23 00:00:00,CNY,,,298951718.52,-31.914815324003,298951718.52,-31.914815324003,,,,,,,,,,,203864811.5,-39.714906002111,123652930.85,-47.616160281122,,,,,10422673.4,-45.414783558656,,,,,,,,,,,,,10918854.01,-48.764931568556,264530.4,27.852708952808,37347658.09,-13.438303065226,,,21258164.75,15.798033102907,24620624.91,9.894502763312,2396858.76,-41.790688200919,,,,,1038274.11,-54.238811679019,,,,,,,,,,,,,,,,,-1453589.28,-131.522102868002,,,94671591.85,-14.090838995279,53902.56,-69.738407413076,,,4874.17,-50.37391351271,,,,,0.0,,94720620.24,-14.177419318897,,,0.0,,13900555.28,17.025735013952,80820064.96,-17.940627691198,80820064.96,-17.940627691198,,,,,,,,,,,,,,,80820064.96,-17.940627691198,0.08,-20.0,0.08,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80820064.96,-17.940627691198,80820064.96,-17.940627691198,,,,,,,,,,,,,80414955.37,-48.888178582237
603132.SH,603132,金徽股份,10641506,通用,2023-12-31 00:00:00,四季度,2023四季度,058001001,2024-03-23 00:00:00,2025-03-11 00:00:00,CNY,标准无保留意见,,439084831.66,48.713116326594,439084831.66,48.713116326594,,,,,,,,,,,338167858.72,82.221540750189,236051674.55,100.749906992348,,,,,19094315.42,109.507356800516,,,,,,,,,,,,,21311289.99,95.758763553291,206902.46,-8.057600139925,43145709.26,22.145381670244,,,18357967.04,47.489410824966,22403873.07,42.925281359139,4117655.21,28.631304794831,,,,,2268896.74,539.395577131355,,,,,,,,,,,,,,,28298.04,,4611333.47,486.405618647011,,,110199646.63,2.221022381655,178122.02,505.544963889369,,,9821.79,-36.435908072786,,,,,,,110367946.86,2.363878836083,,,,,11878203.78,-23.829853082966,98489743.08,6.792974229924,98489743.08,6.792974229924,,,,,,,,,,,,,0.0,,98489743.08,6.792974229924,0.1,11.111111111111,0.1,11.111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98489743.08,6.792974229924,98489743.08,6.792974229924,0.0,,,,,,,,,,,,157331421.85,71.171839128284
603132.SH,603132,金徽股份,10641506,通用,2023-09-30 00:00:00,三季度,2023三季度,058001001,2023-10-20 00:00:00,2024-10-25 00:00:00,CNY,,,295256291.11,-14.024182218976,295256291.11,-14.024182218976,,,,,,,,,,,185580616.5,-10.912468757808,117584948.4,-10.846737378588,,,,,9113911.66,7.551249741115,,,,,,,,,,,,,10886506.23,-39.258184560472,225034.87,5.243159377759,35323242.41,-7.676085658374,,,12446972.93,7.753664817934,15675234.54,7.923198085477,3201129.94,7.28831054834,,,,,354850.24,-79.267792805202,,,,,,,,,,,,,,,0.0,,-1193391.93,-12.203908581045,-1031865.41,-12.146486806321,107805267.51,-20.327707717639,29415.16,90.610962646546,,,15451.79,-99.807439125947,,,,,,,107819230.88,-15.304323612171,,,,,15594303.36,-4.069642534479,92224927.52,-16.948950797891,92224927.52,-16.948950797891,,,,,,,,,,,,,0.0,,92224927.52,-16.948950797891,0.09,-25.0,0.09,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92224927.52,-16.948950797891,92224927.52,-16.948950797891,0.0,,,,,,,,,,,,91914314.09,-21.036812322267
603132.SH,603132,金徽股份,10641506,通用,2023-06-30 00:00:00,二季度,2023二季度,058001001,2023-08-26 00:00:00,2024-08-17 00:00:00,CNY,,,343417833.91,67.411304545205,343417833.91,67.411304545205,,,,,,,,,,,208312671.72,30.826914497396,131890796.75,38.06768505305,,,,,8474017.44,52.58959303195,,,,,,,,,,,,,17922589.49,134.594437445682,213823.75,-7.372145955926,38260122.16,3.006699279372,,,11551322.13,-12.050475035098,14524434.8,-5.877880829636,2983670.75,19.414548557512,,,,,1711589.3,606.048912632089,,,,,,,,,,,,,,,,,-1063592.12,-137.146901910235,-920104.98,-117.943950027364,135310864.57,178.474967329858,15432.04,116.040609705563,,,8024366.36,3094.181425679919,,,,,,,127301930.25,163.314945317353,,,,,16255858.7,125.36437098873,111046071.55,169.970057975321,111046071.55,169.970057975321,,,,,,,,,,,,,0.0,100.0,111046071.55,169.378115073006,0.12,200.0,0.12,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111046071.55,169.970057975321,111046071.55,169.378115073006,0.0,100.0,,,,,,,,,,,116401473.64,182.160631235141
603132.SH,603132,金徽股份,10641506,通用,2023-03-31 00:00:00,一季度,2023一季度,058001001,2023-04-27 00:00:00,2024-04-23 00:00:00,CNY,,,205134196.19,-44.110984725846,205134196.19,-44.110984725846,,,,,,,,,,,159227688.37,-10.984916028795,95526188.26,-3.248980746768,,,,,5553470.11,-54.949418397349,,,,,,,,,,,,,7639818.61,-59.352233897311,230841.74,-1.287275382565,37143333.81,-0.616876604384,,,13134035.84,15.078999033261,15431478.73,4.814362141969,2498582.28,-25.047555287607,,,,,242417.95,105.754728783383,,,,,,,,,,,,,,,,,2863205.45,199.372674742578,-422175.05,,48589956.17,-73.268701435467,7143.12,-99.881575672031,,,251218.24,-31.875877641147,,,,,0.0,,48345881.05,-74.206562489179,,,0.0,,7213144.93,-70.49608514047,41132736.12,-74.763136065016,41132736.12,-74.763136065016,,,,,,,,,,,,,-90386.82,,41223122.94,-74.707679509168,0.04,-76.470588235294,0.04,-76.470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41132736.12,-74.763136065016,41223122.94,-74.707679509168,-90386.82,,,,,,,,,,,,41253619.66,-74.404115167575
603132.SH,603132,金徽股份,10641506,通用,2022-12-31 00:00:00,四季度,2022四季度,058001001,2023-03-28 00:00:00,2024-03-23 00:00:00,CNY,标准无保留意见,,367038487.23,51.131112190896,367038487.23,51.131112190896,,,,,,,,,,,178877198.41,5.548822060444,98734038.15,-7.11452343194,,,,,12327188.49,9.156384846464,,,,,,,,,,,,,18795174.6,106.125399957152,233852.06,36.303978100163,37373884.56,22.687429347186,,,11413060.55,-5.919570468215,14722675.8,-4.06279117874,3333556.75,2.49372314651,,,,,-4212500.0,-25342.2960811972,,,,,,,,,,,,,,,704267.71,,-2881280.45,-785.856688376365,,,181771776.08,146.084791958289,6031801.17,95107.74772272039,,,368765.47,,,,,,,,187434811.78,153.729714750376,,,,,24448094.31,220.898241614889,162986717.47,146.005814487996,162986717.47,146.005814487996,,,,,,,,,,,,,,,162986717.47,146.005814487996,0.17,142.857142857143,0.17,142.857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162986717.47,146.005814487996,162986717.47,146.005814487996,,,,,,,,,,,,,161172860.13,143.337787858707
603132.SH,603132,金徽股份,10641506,通用,2022-09-30 00:00:00,三季度,2022三季度,058001001,2022-10-18 00:00:00,2023-10-20 00:00:00,CNY,,,242860971.45,-30.391232409214,242860971.45,-30.391232409214,,,,,,,,,,,169473419.9,-13.35884123578,106296529.66,-6.808263517403,,,,,11293144.7,6.367665667968,,,,,,,,,,,,,9118320.5,-49.641972115215,171566.57,-13.156415625294,30462684.53,-21.355990725209,,,12131173.94,-12.631747352739,15346158.16,-24.142687455127,3252449.66,-48.797441079886,,,,,16688.26,-97.070917771528,,,,,,,,,,,,,,,,,420099.49,212.135307895875,,,73865505.72,-51.874606443794,6335.41,-86.915354534801,,,0.0,,,,,,,,73871841.13,-51.885656939819,,,,,7618643.9,-68.869153073375,66253197.23,-48.665189144465,66253197.23,-48.665189144465,,,,,,,,,,,,,,,66253197.23,-48.665189144465,0.07,-46.153846153846,0.07,-46.153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66253197.23,-48.665189144465,66253197.23,-48.665189144465,,,,,,,,,,,,,66234209.47,-48.471860823083
603132.SH,603132,金徽股份,10641506,通用,2022-06-30 00:00:00,二季度,2022二季度,058001001,2022-08-19 00:00:00,2023-08-26 00:00:00,CNY,,,348894226.77,24.303263298857,348894226.77,24.303263298857,,,,,,,,,,,195603824.23,25.89522349912,114062183.7,41.711845819464,,,,,10617084.27,23.905274545102,,,,,,,,,,,,,18106984.89,80.255710464509,197558.14,-20.683023718794,38734907.86,13.96172128917,,,13885105.37,-36.969438881794,20230295.07,-18.187766722719,6352123.27,133.656868738772,,,,,569743.65,-89.820706182546,,,,,,,,,,,,,,,,,-374636.23,-643.618431617043,,,153485509.96,17.29323389448,48418.66,1213.094698931759,,,0.0,-100.0,,,,,,,153533928.62,17.628921876034,,,,,24472973.44,29.616652616479,129060955.18,15.601557883791,129060955.18,15.601557883791,,,,,,,,,,,,,,,129060955.18,15.601557883791,0.13,8.333333333333,0.13,8.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129060955.18,15.601557883791,129060955.18,15.601557883791,,,,,,,,,,,,,128539882.34,19.941526158897
603132.SH,603132,金徽股份,10641506,通用,2022-03-31 00:00:00,一季度,2022一季度,058001001,2022-04-23 00:00:00,2023-04-27 00:00:00,CNY,,,280679861.1,-21.681752439307,280679861.1,-21.681752439307,,,,,,,,,,,155370330.02,-23.204633033641,80488813.79,-27.465701808212,,,,,8568710.5,-26.062673295493,,,,,,,,,,,,,10045165.75,-22.476483293534,249074.22,-20.053947825934,33989402.25,-15.844314529528,,,22029163.51,-15.609257593506,24727714.01,-10.688812661283,2718569.03,70.915949675122,,,,,5597084.24,388.630586815637,,,,,,,,,,,,,,,,,-50380.17,-77.182221346904,,,130856235.15,-16.749351504835,3687.37,-95.780542482882,,,335961.09,359.511575630209,,,,,0.0,,130523961.43,-16.9682856172,,,0.0,,18881041.09,0.226880283316,111642920.34,-19.309490204114,111642920.34,-19.309490204114,,,,,,,,,,,,,,,111642920.34,-19.309490204114,0.12,-25.0,0.12,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111642920.34,-19.309490204114,111642920.34,-19.309490204114,,,,,,,,,,,,,107168790.04,
603132.SH,603132,金徽股份,10641506,通用,2021-12-31 00:00:00,四季度,2021四季度,058001001,2022-01-27 00:00:00,2023-03-28 00:00:00,CNY,标准无保留意见,,358383735.39,31.461370075998,358383735.39,31.461370075998,,,,,,,,,,,202317322.2,19.31639713713,110966557.61,26.96587954582,,,,,11589153.79,-5.377697353018,,,,,,,,,,,,,12957572.33,30.572924523913,311552.87,26.103611974078,40388717.72,28.694732108076,,,26103767.88,-7.965920907488,27687140.6,-4.48945902838,1590588.26,132.464101269628,,,,,1145463.34,9063.699389040488,,,,,,,,,,,,,,,0.0,,-28434.1,-363.391182332723,,,157183442.43,52.519565207161,87389.67,85.038386240664,,,73112.65,,,,,,,,157197719.45,52.463549842315,,,,,18838300.7,21.32111732003,138359418.75,57.985155787596,138359418.75,57.985155787596,,,,,,,,,,,,,,,138359418.75,57.985155787596,0.16,60.0,0.16,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138359418.75,57.985155787596,138359418.75,57.985155787596,,,,,,,,,,,,,,
603132.SH,603132,金徽股份,10641506,通用,2021-09-30 00:00:00,三季度,2021三季度,058001001,2022-10-18 00:00:00,2022-10-18 00:00:00,CNY,,,272615244.45,-11.838350968157,272615244.45,-11.838350968157,,,,,,,,,,,169563720.54,-3.911568430107,87398723.19,3.015468432192,,,,,12247803.6,-3.401829170273,,,,,,,,,,,,,9923628.79,-12.905580637806,247061.02,-7.887007285979,31383349.62,-13.785816494816,,,28363154.32,-8.158971765527,28988570.6,-2.893001823352,684229.63,59.251003881418,,,,,12500.01,-99.482150343541,,,,,,,,,,,,,,,0.0,,-6136.09,-102.326927714345,,,103057887.83,-23.909168549863,47227.86,-63.884328873818,,,0.0,-100.0,,,,,,,103105115.69,-23.940893208296,,,,,15527635.35,-25.910116714008,87577480.34,-23.580769562791,87577480.34,-23.580769562791,,,,,,,,,,,,,,,87577480.34,-23.580769562791,0.1,-28.571428571429,0.1,-28.571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87577480.34,-23.580769562791,87577480.34,-23.580769562791,,,,,,,,,,,,,,
603132.SH,603132,金徽股份,10641506,通用,2021-06-30 00:00:00,二季度,2021二季度,058001001,2021-10-11 00:00:00,2022-08-19 00:00:00,CNY,标准无保留意见,,309222034.12,-0.965318666585,309222034.12,-0.965318666585,,,,,,,,,,,176466321.46,3.936611631299,84840388.07,-1.04813481329,,,,,12679125.8,95.435790452443,,,,,,,,,,,,,11394104.08,-0.399891569218,268215.17,-12.902049020903,36401608.58,6.984845707275,,,30882879.76,-2.832572489613,29852195.15,-11.588442227367,429654.83,-78.733547466837,,,,,2413829.93,3212.258979818222,,,,,,,,,,,,,,,,,263699.21,-68.564569670021,,,135440612.05,-5.527556464719,130768.33,219.06823662834,,,12181.7,-28.812360844081,,,,,,,135559198.68,-5.460582153243,,,,,20957834.81,-0.37689171587,114601363.87,-6.334668846797,114601363.87,-6.334668846797,,,,,,,,,,,,,,,114601363.87,-6.334668846797,0.14,7.692307692308,0.14,7.692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114601363.87,-6.334668846797,114601363.87,-6.334668846797,,,,,,,,,,,,,,
603132.SH,603132,金徽股份,10641506,通用,2021-03-31 00:00:00,一季度,2021一季度,058001001,2022-04-23 00:00:00,2022-04-23 00:00:00,CNY,,,312236107.55,,312236107.55,,,,,,,,,,,,169782638.37,,85739048.89,,,,,,6487617.12,,,,,,,,,,,,,,11439851.08,,307946.59,,34025013.86,,,,31783160.83,,33765036.95,,2020340.86,,,,,,72875.64,,,,,,,,,,,,,,,,,,838859.87,,,,143365204.69,,40984.44,,,,17112.1,,,,,,0.0,,143389077.03,,,,0.0,,21037121.98,,122351955.05,,122351955.05,,,,,,,,,,,,,,,,122351955.05,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122351955.05,,122351955.05,,,,,,,,,,,,,,,
